Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
kiernanshipka,Cinema & Actors/actresses,,8100000,Brazil,207300,335800,0.6173
camilladelucas,Beauty,,10800000,Brazil,205200,376800,0.5446
soueunavida,Humor & Fun & Happiness,,17500000,Brazil,204600,389500,0.5253
juliette,Cinema & Actors/actresses,,33700000,Brazil,201200,319800,0.6291
ncentineo,Cinema & Actors/actresses,,17000000,Brazil,200300,333600,0.6004
loud_babi,Lifestyle,,9200000,Brazil,200100,323500,0.6185
vivi,Beauty,Lifestyle,13100000,Brazil,200000,328400,0.6090
markruffalo,Cinema & Actors/actresses,,20500000,Brazil,194300,244200,0.7957
larissamanoela,Cinema & Actors/actresses,,44800000,Brazil,192100,320400,0.5996
lucasranngel,Lifestyle,,19200000,Brazil,186800,412300,0.4531
matue30,Lifestyle,,6100000,Brazil,186000,408100,0.4558
ronaldinho,Sports with a ball,,65100000,Brazil,183800,317000,0.5798
gioewbank,Cinema & Actors/actresses,Modeling,28000000,Brazil,181400,290600,0.6242
gessicakayane,Shows,Humor & Fun & Happiness,19300000,Brazil,173600,357900,0.4851
littlemix,Music,,15400000,Brazil,172100,232000,0.7418
vanessalopesr_,Lifestyle,,10600000,Brazil,171900,559700,0.3071
danialves,Sports with a ball,,35700000,Brazil,170600,264900,0.6440
alvxaro,Lifestyle,,9200000,Brazil,169600,424700,0.3993
felipeneto,Lifestyle,,15400000,Brazil,166100,236000,0.7038
jairmessiasbolsonaro,Finance & Economics,Business & Careers,19500000,Brazil,150900,212600,0.7098
viihtube,Cinema & Actors/actresses,,22900000,Brazil,148000,279900,0.5288
roberto_firmino,Sports with a ball,,13200000,Brazil,144600,214900,0.6729
ludmilla,Music,,26500000,Brazil,143500,212600,0.6750
camilaloures,Shows,,17600000,Brazil,131500,196300,0.6699
paollaoliveirareal,Cinema & Actors/actresses,Lifestyle,33600000,Brazil,127600,167400,0.7622
marimaria,Beauty,,19900000,Brazil,126600,242700,0.5216
luisasonza,Music,Lifestyle,28200000,Brazil,125100,198900,0.6290
thiagosilva,Sports with a ball,,18900000,Brazil,122800,207200,0.5927
iampauloandre,Lifestyle,,6100000,Brazil,122200,424400,0.2879
eliana,Music,Shows,29600000,Brazil,119300,151500,0.7875
jojotodynho,Music,,21700000,Brazil,117300,190100,0.6170
joaoguilherme,Music,Cinema & Actors/actresses,15500000,Brazil,116800,227100,0.5143
sincerooficial,Humor & Fun & Happiness,,21100000,Brazil,109500,212600,0.5151
arthuraguiar,Music,Cinema & Actors/actresses,12700000,Brazil,104100,236800,0.4396
netflixbrasil,Shows,Cinema & Actors/actresses,29900000,Brazil,103700,177500,0.5842
ashleybenson,Modeling,,22400000,Brazil,101000,144300,0.6999
alfinetei,Humor & Fun & Happiness,,21100000,Brazil,99500,223600,0.4450
rafakalimann,Modeling,,22800000,Brazil,90900,163300,0.5566
choquei,Literature & Journalism,,17000000,Brazil,90100,279500,0.3224
marinaruybarbosa,Cinema & Actors/actresses,,39800000,Brazil,86600,130100,0.6656
francinyehlke,Beauty,,15200000,Brazil,86400,188600,0.4581
kaka,Sports with a ball,,17900000,Brazil,83600,136100,0.6143
pefabiodemelo,Lifestyle,,25500000,Brazil,81600,122900,0.6640
tatawerneck,Cinema & Actors/actresses,Family,52100000,Brazil,80800,123500,0.6543
isisvalverde,Cinema & Actors/actresses,Lifestyle,27800000,Brazil,79400,117200,0.6775
nikefootball,Sports with a ball,Clothing & Outfits,44300000,Brazil,74800,117400,0.6371
bianca,Beauty,,17700000,Brazil,73600,172200,0.4274
davidluiz23,Sports with a ball,,21200000,Brazil,69800,152400,0.4580
netflix,Cinema & Actors/actresses,Shows,29500000,Brazil,65000,105900,0.6138
julianapaes,Art/Artists,Cinema & Actors/actresses,30200000,Brazil,61400,95200,0.6450
gusttavolima,Music,,42900000,Brazil,46900,79800,0.5877
louisvuitton,Fashion,Clothing & Outfits,47700000,Brazil,46200,59700,0.7739
alexis_officia1,Sports with a ball,,13400000,Chile,185200,304800,0.6076
jacksonwang852g7,Music,,27300000,China,950100,1100000,0.8637
jamesrodriguez10,Sports with a ball,,49100000,Colombia,506000,768300,0.6586
residente,Music,,8700000,Colombia,480400,743900,0.6458
jennmuriel,Lifestyle,Modeling,5500000,Colombia,451500,562600,0.8025
sofiaalcastro,Shows,Cinema & Actors/actresses,8500000,Colombia,427400,582700,0.7335
andreavaldirisos,Lifestyle,Beauty,7700000,Colombia,411300,584300,0.7039
la_segura,Cinema & Actors/actresses,,8200000,Colombia,335200,411300,0.8150
nickyjam,Music,,42700000,Colombia,290900,347000,0.8383
yefersoncossio,Lifestyle,,8800000,Colombia,257000,376600,0.6824
cvillaloboss,Shows,Cinema & Actors/actresses,19200000,Colombia,247300,305100,0.8106
linatejeiro,Cinema & Actors/actresses,,9200000,Colombia,237700,287000,0.8282
greeicy,Shows,Cinema & Actors/actresses,20400000,Colombia,201400,270900,0.7434
luisafernandaw,Lifestyle,Beauty,16900000,Colombia,106300,162100,0.6558
mosalah,Sports with a ball,,49000000,Egypt,1200000,1700000,0.7059
yasminabdelaziz_,Cinema & Actors/actresses,,15400000,Egypt,185700,219900,0.8445
yasmine_sabri,Cinema & Actors/actresses,Lifestyle,18400000,Egypt,158400,222800,0.7110
tamerhosny,Music,Cinema & Actors/actresses,22000000,Egypt,110500,134100,0.8240
mohamedramadanws,Music,,20100000,Egypt,93900,129900,0.7229
k.mbappe,Sports with a ball,,68900000,France,3000000,4300000,0.6977
karimbenzema,Sports with a ball,,47400000,France,981200,1400000,0.7009
tommyinnit,Lifestyle,,3600000,France,724800,817400,0.8867
xsqueezie,Music,Lifestyle,7600000,France,519400,607300,0.8553
nabilla,Beauty,,7200000,France,266800,367400,0.7262
memphisdepay,Sports with a ball,,14200000,France,191600,339100,0.5650
bibisbeautypalace,Family,Lifestyle,7800000,Germany,322700,369600,0.8731
toni.kr8s,Sports with a ball,,31900000,Germany,178800,244100,0.7325
